Time;Command;Communication;Healthcare;Accommodation;Dining;Recreation;Periphery;Maintenance;Waste;ElecLoadVehicles;H2LoadVehicles;DieselLoadVehicles;CH4LoadVehicles;Elec_Central;PV;Solar_Thermal;Wind;Heating_Central;Cooling_Central
2025-01-01 00:00;load;load;load;load;load;load;load;load;load;load;Massflow;Massflow;Massflow;load;Generation;Generation;Generation;load;load
s;MW;MW;MW;MW;MW;MW;MW;MW;MW;MW;kg/h;kg/h;kg/h;MW;MW;MW;MW;MW;MW
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
3600;0.06961821565522507;0.20415604173320223;0.10665318730755276;0.04527844171400135;0.057794890220740094;0.005487370212577327;0.12130015975039253;0.030356190201030187;0.01850525722971317;0.02907459221757252;2.539252091929983;8.40847490511568;12.270369067201742;0.6591497540244348;0.0;0.0;0.057427;0.42678;0.0
7200;0.07630956612525708;0.19880847898460707;0.09036474192911971;0.03159220801032362;0.05802395654429044;0.00801520646341667;0.10959660151053258;0.028555659982326766;0.018296701404566466;0.027976897829863526;2.4357533194593906;8.534550055175137;11.849836748421177;0.6195631209544404;0.0;0.0;0.056946;0.454911;0.0
10800;0.0699752004653744;0.202553710139186;0.10808302683377448;0.024871614240633222;0.06400223278562629;0.00706302503649591;0.1239441546118472;0.028132256124762226;0.018751281344214322;0.02886775821125067;2.180996731802366;7.76245945685981;12.966046608232503;0.6473765015819141;0.0;0.0;0.054464;0.477215;0.0
14400;0.07157887108682749;0.18261973401113654;0.09365492418827724;0.12015000019515608;0.2482109983517728;0.020224785661373396;0.12124765188562242;0.03250762933010415;0.05813745321097045;0.031122233437239286;2.3985400773432195;7.153894873064018;13.151051609346904;0.9483320479212405;0.0;0.0;0.058311999999999996;0.494863;0.0
18000;0.1422004690601075;0.20970309682126825;0.19264232319257998;0.36781645350747355;0.5826073646977011;0.026849474446074054;0.1367788333613337;0.05959698400720662;0.16500009181534947;0.027042094909456783;2.5018082582824595;7.447121497613355;10.988642085110168;1.8831950909090946;0.0;0.0;0.06252300000000001;0.514434;0.0
21600;0.20923180348565937;0.2659549129994465;0.2867892517608636;0.5038711783287356;0.6269013952533501;0.05392352180860757;0.1567129402339044;0.0821615519445038;0.1994001042950166;0.030731738769300847;2.581322139379086;7.721563442779326;11.655922766088292;2.3849466601100873;0.0;0.0;0.061697;0.543983;0.0
25200;0.2938997524606979;0.24710445166788333;0.40889362945688407;0.2217513235476883;0.436257076804277;0.023800594783140224;0.1534558837954491;0.1219883743414191;0.1920725239034213;0.029543955825403298;2.2675588515700578;8.214901129727902;11.816700462879634;2.0992236107608604;0.0;0.0;0.058973;0.585785;0.0
